date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2016-08-15,7.756800,6.635400,-0.043200,inside
2016-08-16,7.754380,6.624800,-0.045620,inside
2016-08-17,7.754300,6.634000,-0.045700,inside
2016-08-18,7.753600,6.612000,-0.046400,inside
2016-08-21,7.754800,6.634400,-0.045200,inside
2016-08-22,7.753500,6.647500,-0.046500,inside
2016-08-23,7.753200,6.640800,-0.046800,inside
2016-08-24,7.753700,6.658400,-0.046300,inside
2016-08-25,7.755100,6.659400,-0.044900,inside
2016-08-28,7.756700,6.678900,-0.043300,inside
2016-08-29,7.755200,6.675200,-0.044800,inside
2016-08-30,7.757580,6.680400,-0.042420,inside
2016-08-31,7.756350,6.677600,-0.043650,inside
2016-09-01,7.757100,6.668200,-0.042900,inside
2016-09-04,7.755400,6.679800,-0.044600,inside
2016-09-05,7.754990,6.675900,-0.045010,inside
2016-09-06,7.755100,6.674300,-0.044900,inside
